EmployeeNumber,Age,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,YearsAtCompany,WorkLifeBalance,PerformanceRating,YearsSinceLastPromotion,Attrition
154,36,Sales,Sales Executive,9738,No,4,9,3,3,2,No
155,36,Research & Development,Laboratory Technician,2835,No,4,1,3,4,0,No
158,43,Sales,Manager,16959,Yes,4,25,4,3,4,No
159,30,Research & Development,Research Scientist,2613,No,3,10,2,4,0,No
160,33,Sales,Sales Executive,6146,No,2,7,4,3,0,No
161,56,Research & Development,Research Scientist,4963,Yes,2,5,3,3,4,Yes
162,51,Research & Development,Research Director,19537,No,3,20,3,3,15,No
163,31,Sales,Sales Executive,6172,Yes,3,7,2,3,7,Yes
164,26,Research & Development,Research Scientist,2368,No,2,5,2,3,4,No
165,58,Research & Development,Healthcare Representative,10312,No,4,40,2,3,15,Yes
167,19,Sales,Sales Representative,1675,Yes,3,0,2,3,0,Yes
169,22,Research & Development,Laboratory Technician,2523,No,4,2,3,3,2,No
170,49,Research & Development,Manufacturing Director,6567,No,1,15,2,3,5,No
171,43,Research & Development,Research Scientist,4739,No,3,3,3,3,1,No
174,50,Sales,Sales Executive,9208,No,4,2,3,3,2,No
175,31,Sales,Sales Executive,4559,Yes,3,2,3,3,2,Yes
176,41,Sales,Sales Executive,8189,Yes,3,9,3,3,0,No
177,26,Human Resources,Human Resources,2942,No,3,8,3,4,5,No
178,36,Research & Development,Manufacturing Director,4941,No,2,3,3,4,0,No
179,51,Research & Development,Manufacturing Director,10650,No,4,4,3,3,0,Yes
182,39,Sales,Sales Executive,5902,No,3,15,4,3,5,No
183,25,Sales,Sales Executive,8639,No,3,2,3,3,2,No
184,30,Human Resources,Human Resources,6347,Yes,4,11,1,3,4,No
190,32,Research & Development,Laboratory Technician,4200,No,1,5,4,4,0,Yes
192,45,Research & Development,Research Scientist,3452,No,4,6,2,3,0,No
193,38,Research & Development,Research Scientist,4317,Yes,3,3,3,4,2,No
194,30,Research & Development,Research Scientist,2632,No,3,5,2,3,0,No
195,32,Sales,Sales Executive,4668,No,4,8,4,3,0,No
197,30,Research & Development,Research Scientist,3204,No,1,3,3,3,2,No
198,30,Research & Development,Laboratory Technician,2720,No,4,5,3,3,1,No
199,41,Research & Development,Manager,17181,No,1,7,2,3,7,No
200,41,Research & Development,Laboratory Technician,2238,No,1,5,3,4,1,No
201,19,Research & Development,Laboratory Technician,1483,No,2,1,3,3,0,No
202,40,Research & Development,Research Scientist,5605,No,2,20,3,3,2,No
204,35,Sales,Sales Executive,7295,No,2,10,3,3,0,No
205,53,Sales,Sales Representative,2306,Yes,3,7,1,4,4,No
206,45,Research & Development,Laboratory Technician,2348,No,2,17,1,3,0,No
207,32,Sales,Sales Executive,8998,No,4,9,3,3,3,No
208,29,Research & Development,Manufacturing Director,4319,No,3,10,3,3,0,No
211,51,Research & Development,Manufacturing Director,6132,No,3,1,3,3,0,No
214,58,Research & Development,Research Scientist,3346,Yes,2,1,2,4,0,No
215,40,Sales,Sales Executive,10855,No,4,12,2,3,2,No
216,34,Sales,Sales Representative,2231,No,3,4,3,3,1,No
217,22,Research & Development,Research Scientist,2323,No,4,2,3,4,2,No
218,27,Research & Development,Research Scientist,2024,No,2,2,1,3,2,No
221,28,Research & Development,Research Scientist,2713,No,4,5,1,3,0,No
223,57,Research & Development,Healthcare Representative,9439,Yes,4,5,1,3,1,No
224,27,Research & Development,Research Scientist,2566,Yes,3,1,2,3,0,No
226,50,Research & Development,Manager,19926,No,2,5,3,3,4,No
227,41,Research & Development,Research Scientist,2451,No,3,9,3,3,1,No
228,30,Sales,Sales Executive,9419,No,4,10,3,3,7,No
230,38,Sales,Sales Executive,8686,No,4,8,4,4,0,No
231,32,Research & Development,Research Scientist,3038,No,3,5,3,4,1,No
233,27,Research & Development,Research Scientist,3058,Yes,2,5,2,3,1,No
235,19,Sales,Sales Representative,2325,No,1,0,4,4,0,Yes
238,36,Research & Development,Laboratory Technician,2088,No,2,8,2,3,7,No
239,30,Research & Development,Laboratory Technician,3072,No,1,12,3,3,6,No
240,45,Sales,Sales Executive,5006,Yes,1,5,4,3,0,No
241,56,Research & Development,Research Scientist,4257,Yes,1,2,3,3,2,No
242,33,Research & Development,Research Scientist,2500,No,4,3,4,3,0,No
243,19,Research & Development,Laboratory Technician,1102,No,4,1,2,4,1,Yes
244,46,Sales,Sales Executive,10453,No,1,24,3,4,15,No
245,38,Research & Development,Laboratory Technician,2288,No,4,2,3,3,2,No
246,31,Research & Development,Research Scientist,3929,Yes,4,4,3,4,0,No
247,34,Research & Development,Research Scientist,2311,No,2,3,3,3,1,No
248,41,Sales,Sales Representative,3140,Yes,2,4,2,4,0,Yes
249,50,Research & Development,Laboratory Technician,3690,No,3,3,2,3,0,No
250,53,Research & Development,Manufacturing Director,4450,No,1,4,3,3,1,No
252,33,Research & Development,Research Scientist,2756,No,2,8,3,3,1,No
253,40,Research & Development,Manager,19033,No,3,20,3,3,9,No
254,55,Research & Development,Research Director,18722,No,2,24,3,3,2,No
256,34,Research & Development,Manufacturing Director,9547,No,3,10,2,3,1,No
258,51,Research & Development,Healthcare Representative,13734,No,2,7,3,3,1,No
259,52,Research & Development,Manager,19999,No,3,33,3,3,11,No
260,27,Research & Development,Research Scientist,2279,No,2,7,2,3,0,No
261,35,Research & Development,Manufacturing Director,5916,Yes,3,1,3,3,0,Yes
262,43,Research & Development,Research Scientist,2089,No,4,5,4,3,2,No
264,45,Research & Development,Manager,16792,No,4,20,3,4,11,No
267,37,Research & Development,Research Scientist,3564,Yes,1,8,2,3,1,No
269,35,Research & Development,Laboratory Technician,4425,No,2,6,3,3,1,No
270,42,Research & Development,Manufacturing Director,5265,No,3,5,3,3,0,No
271,38,Research & Development,Manufacturing Director,6553,No,3,1,3,3,0,No
273,38,Research & Development,Manufacturing Director,6261,No,4,7,1,3,1,No
274,27,Research & Development,Manufacturing Director,4298,No,1,2,3,3,2,No
275,49,Research & Development,Manufacturing Director,6804,Yes,4,7,3,3,1,No
277,34,Research & Development,Research Scientist,3815,Yes,3,5,4,3,2,No
281,40,Research & Development,Laboratory Technician,2741,Yes,4,7,4,3,3,No
282,38,Research & Development,Healthcare Representative,6673,Yes,1,1,3,3,0,Yes
283,29,Sales,Sales Executive,7639,No,4,10,2,4,1,Yes
284,22,Research & Development,Research Scientist,2328,Yes,2,4,2,3,2,No
286,36,Research & Development,Laboratory Technician,2153,No,4,8,3,3,1,No
287,40,Research & Development,Healthcare Representative,4876,No,4,3,1,3,0,No
288,46,Research & Development,Healthcare Representative,9396,No,1,4,3,3,0,No
291,32,Sales,Sales Executive,10400,No,4,14,2,3,9,Yes
292,30,Research & Development,Manufacturing Director,8474,No,3,11,3,4,5,No
293,27,Sales,Sales Executive,9981,No,3,7,3,3,0,No
296,51,Research & Development,Research Director,12490,No,2,10,1,3,4,No
297,30,Research & Development,Research Scientist,2657,Yes,1,5,3,3,0,Yes
298,41,Sales,Manager,13591,Yes,4,1,3,3,0,No
299,30,Sales,Sales Executive,6696,No,1,6,2,3,0,Yes
300,29,Research & Development,Research Scientist,2058,No,3,6,2,3,1,Yes
302,45,Sales,Sales Executive,8865,No,4,19,3,3,12,No
303,54,Sales,Sales Executive,5940,No,1,6,3,3,0,No
304,36,Research & Development,Laboratory Technician,5914,No,2,13,4,3,3,No
305,33,Research & Development,Research Scientist,2622,No,2,3,3,4,1,No
306,37,Research & Development,Research Director,12185,Yes,4,10,3,3,0,No
307,38,Sales,Sales Executive,10609,No,3,16,2,3,5,No
308,31,Research & Development,Manufacturing Director,4345,No,3,5,3,3,1,No
309,59,Research & Development,Research Scientist,2177,No,4,1,3,3,0,No
311,37,Sales,Sales Representative,2793,No,4,9,3,3,5,No
312,29,Sales,Sales Executive,7918,No,4,11,3,3,4,No
314,35,Sales,Sales Executive,8789,No,3,10,4,3,0,No
315,29,Research & Development,Research Scientist,2389,Yes,4,4,2,3,0,Yes
316,52,Research & Development,Laboratory Technician,3212,No,4,2,2,3,2,No
319,42,Research & Development,Manager,19232,No,4,22,3,3,11,No
321,59,Human Resources,Human Resources,2267,No,3,2,2,3,2,No
323,50,Sales,Manager,19517,No,4,7,2,3,0,No
325,33,Research & Development,Laboratory Technician,2436,Yes,4,5,1,3,0,Yes
327,43,Sales,Manager,16064,Yes,4,17,3,4,1,No
328,33,Research & Development,Laboratory Technician,2707,No,1,9,4,4,1,Yes
329,52,Sales,Manager,19068,Yes,3,33,4,3,15,No
330,32,Sales,Sales Representative,3931,No,2,4,3,3,1,No
331,32,Research & Development,Laboratory Technician,3730,Yes,3,3,1,3,1,Yes
332,39,Research & Development,Laboratory Technician,2232,No,3,3,3,3,1,No
333,32,Sales,Sales Executive,4465,No,4,3,3,3,2,No
334,41,Research & Development,Research Scientist,3072,No,1,1,2,3,0,No
335,40,Research & Development,Research Scientist,3319,No,4,9,3,3,4,No
336,45,Research & Development,Manager,19202,No,4,24,3,3,1,No
337,31,Research & Development,Research Director,13675,No,3,2,3,3,2,No
338,33,Research & Development,Research Scientist,2911,No,4,2,2,3,0,No
339,34,Research & Development,Manufacturing Director,5957,No,1,11,3,3,5,No
340,37,Research & Development,Research Scientist,3920,No,1,3,2,3,0,No
341,45,Research & Development,Manufacturing Director,6434,No,3,3,3,3,0,No
342,37,Research & Development,Manufacturing Director,10048,No,3,1,3,3,0,Yes
343,39,Research & Development,Healthcare Representative,10938,No,3,19,3,4,11,No
346,29,Research & Development,Research Scientist,2340,No,4,6,3,3,1,No
347,42,Research & Development,Research Scientist,6545,Yes,1,3,3,3,0,No
349,29,Sales,Sales Executive,6931,No,4,3,3,3,0,No
350,25,Research & Development,Manufacturing Director,4898,No,3,4,3,3,1,No
351,42,Research & Development,Laboratory Technician,2593,Yes,1,9,3,3,7,No
352,40,Research & Development,Research Director,19436,No,3,21,3,3,3,No
353,51,Research & Development,Research Scientist,2723,No,4,1,2,3,0,No
355,31,Research & Development,Laboratory Technician,3479,No,2,5,4,3,1,Yes
359,32,Research & Development,Laboratory Technician,2794,No,2,5,1,4,0,No
361,38,Sales,Sales Executive,5249,No,4,8,3,3,7,No
362,32,Research & Development,Laboratory Technician,2176,No,1,6,3,3,0,No
363,46,Sales,Manager,16872,Yes,2,7,2,3,7,No
364,28,Research & Development,Laboratory Technician,3485,No,3,0,1,3,0,Yes
366,29,Sales,Sales Executive,6644,No,2,0,3,3,0,No
367,31,Research & Development,Healthcare Representative,5582,No,4,9,3,4,7,No
369,25,Research & Development,Healthcare Representative,4000,No,1,6,3,3,1,No
372,45,Research & Development,Healthcare Representative,13496,Yes,4,20,3,3,4,No
373,36,Research & Development,Laboratory Technician,3210,No,4,15,3,3,10,No
374,55,Research & Development,Manager,19045,Yes,1,36,3,3,4,No
376,47,Research & Development,Manager,11849,Yes,2,10,2,3,9,Yes
377,28,Research & Development,Research Scientist,2070,No,4,5,2,4,0,No
378,37,Sales,Sales Executive,6502,No,4,5,4,3,0,No
379,21,Research & Development,Research Scientist,3230,No,3,3,4,3,1,No
380,37,Research & Development,Research Director,13603,Yes,4,5,3,3,0,No
381,35,Research & Development,Manager,11996,No,2,7,2,3,6,No
382,38,Sales,Sales Executive,5605,Yes,1,8,3,4,7,No
384,26,Research & Development,Manufacturing Director,6397,No,2,6,1,4,1,No
385,50,Research & Development,Research Director,19144,No,2,10,2,3,1,No
386,53,Research & Development,Research Director,17584,Yes,3,5,2,3,1,No
387,42,Sales,Sales Executive,4907,No,3,20,3,4,11,No
388,29,Sales,Sales Executive,4554,No,4,10,2,3,0,No
389,55,Research & Development,Laboratory Technician,5415,Yes,4,10,3,3,0,No
390,26,Research & Development,Healthcare Representative,4741,Yes,1,5,3,3,3,No
391,37,Research & Development,Research Scientist,2115,No,4,17,3,3,5,No
392,44,Research & Development,Laboratory Technician,3161,Yes,3,1,1,4,0,Yes
393,38,Research & Development,Healthcare Representative,5745,No,4,2,3,3,1,No
394,26,Research & Development,Laboratory Technician,2373,Yes,2,3,3,3,0,Yes
395,28,Research & Development,Research Scientist,3310,No,4,5,3,4,0,No
396,49,Research & Development,Research Director,18665,Yes,1,3,3,3,1,No
397,36,Research & Development,Research Scientist,4485,No,2,8,3,3,7,No
399,31,Sales,Sales Representative,2789,No,2,2,2,3,2,No
401,26,Sales,Sales Executive,5828,Yes,4,8,3,3,7,Yes
403,37,Research & Development,Research Scientist,2326,Yes,4,4,2,3,1,No
404,42,Sales,Sales Executive,13525,No,2,20,4,3,4,No
405,18,Research & Development,Laboratory Technician,1420,No,3,0,3,3,0,Yes
406,35,Sales,Sales Executive,8020,No,2,11,2,3,6,No
407,36,Research & Development,Laboratory Technician,3688,No,4,1,3,3,0,No
408,51,Research & Development,Manufacturing Director,5482,No,2,4,3,3,1,No
410,41,Sales,Manager,16015,No,2,22,3,3,0,No
411,18,Sales,Sales Representative,1200,No,3,0,3,3,0,No
412,28,Research & Development,Healthcare Representative,5661,No,1,8,3,3,0,No
416,31,Sales,Sales Executive,6929,No,4,8,2,3,7,No
417,39,Research & Development,Healthcare Representative,9613,No,4,18,2,3,3,No
419,36,Research & Development,Laboratory Technician,5674,No,2,9,3,3,0,No
420,32,Sales,Sales Executive,5484,No,3,13,2,3,4,No
421,38,Research & Development,Research Director,12061,No,2,10,3,3,0,No
422,58,Research & Development,Healthcare Representative,5660,Yes,3,5,3,3,1,No
423,31,Research & Development,Research Scientist,4821,Yes,4,5,3,3,0,No
424,31,Human Resources,Human Resources,6410,No,1,2,3,3,1,No
425,45,Research & Development,Laboratory Technician,5210,No,1,24,3,3,9,No
426,31,Research & Development,Research Scientist,2695,Yes,4,2,1,3,2,No
428,33,Research & Development,Manager,11878,No,2,10,3,3,8,No
429,39,Research & Development,Manager,17068,Yes,1,21,3,3,11,No
430,43,Research & Development,Laboratory Technician,2455,No,4,8,3,3,1,No
431,49,Research & Development,Healthcare Representative,13964,Yes,3,7,3,3,0,No
433,52,Research & Development,Research Scientist,4941,No,2,8,2,3,7,Yes
434,27,Research & Development,Research Scientist,2478,Yes,2,4,2,3,1,No
436,32,Sales,Sales Executive,5228,Yes,2,13,3,3,11,No
437,27,Sales,Sales Executive,4478,Yes,3,5,3,3,0,No
438,31,Sales,Sales Executive,7547,No,4,7,3,3,1,No
439,32,Research & Development,Research Scientist,5055,No,4,7,2,3,0,No
440,28,Research & Development,Research Scientist,3464,Yes,4,3,2,3,2,Yes
441,30,Research & Development,Research Scientist,5775,No,4,10,3,3,1,No
442,31,Research & Development,Manufacturing Director,8943,No,3,10,3,4,8,No
444,39,Research & Development,Manager,19272,No,4,21,3,3,13,No
445,39,Sales,Sales Executive,5238,Yes,3,1,2,3,0,Yes
446,33,Sales,Sales Executive,4682,No,4,7,2,3,0,No
447,47,Research & Development,Research Director,18300,No,3,3,3,3,1,No
448,43,Research & Development,Laboratory Technician,5257,No,3,9,4,3,0,No
449,27,Sales,Sales Executive,6349,Yes,2,5,3,3,1,No
450,54,Research & Development,Research Scientist,4869,No,3,4,2,3,0,No
451,43,Research & Development,Healthcare Representative,9985,No,1,1,2,3,0,No
452,45,Research & Development,Research Scientist,3697,No,4,10,3,3,9,No
453,40,Sales,Sales Executive,7457,Yes,4,4,2,4,0,No
454,29,Research & Development,Laboratory Technician,2119,Yes,1,7,2,3,0,Yes
455,29,Research & Development,Laboratory Technician,3983,No,4,3,3,3,2,No
456,30,Sales,Sales Executive,6118,No,3,10,3,3,1,No
458,27,Sales,Sales Executive,6214,No,2,8,3,3,0,No
460,37,Research & Development,Manufacturing Director,6347,No,4,6,2,3,0,No
461,38,Research & Development,Research Director,11510,Yes,4,11,3,3,2,No
462,31,Research & Development,Manufacturing Director,7143,Yes,4,11,2,3,4,No
463,29,Sales,Sales Executive,8268,Yes,2,7,3,3,1,No
464,35,Research & Development,Manufacturing Director,8095,No,2,16,3,3,0,No
465,23,Research & Development,Research Scientist,2904,No,4,4,2,3,0,No
466,41,Research & Development,Manufacturing Director,6032,Yes,2,5,3,3,1,No
467,47,Sales,Sales Representative,2976,No,3,0,3,3,0,No
468,42,Research & Development,Research Director,15992,No,4,1,3,3,0,No
469,29,Sales,Sales Executive,4649,No,3,4,2,3,0,No
470,42,Human Resources,Human Resources,2696,Yes,3,3,3,3,1,No
471,32,Research & Development,Laboratory Technician,2370,No,2,8,3,3,0,No
473,48,Sales,Manager,12504,No,3,0,1,4,0,No
474,37,Research & Development,Research Scientist,5974,Yes,1,7,3,3,6,No
475,30,Sales,Sales Executive,4736,Yes,3,2,4,3,2,No
476,26,Sales,Sales Executive,5296,No,3,8,3,3,7,No
477,42,Research & Development,Healthcare Representative,6781,No,4,1,3,4,0,No
478,21,Sales,Sales Representative,2174,Yes,2,3,3,3,1,Yes
479,36,Sales,Sales Executive,6653,No,4,1,3,3,0,No
481,36,Sales,Sales Executive,9699,No,4,13,3,3,1,No
482,57,Research & Development,Healthcare Representative,6755,No,3,3,3,3,1,No
483,40,Research & Development,Laboratory Technician,2213,Yes,3,7,3,3,1,No
484,21,Sales,Sales Representative,2610,No,4,3,2,4,2,No
485,33,Sales,Sales Representative,2851,Yes,3,1,3,3,0,Yes
486,37,Research & Development,Laboratory Technician,3452,No,1,5,3,4,0,No
487,46,Research & Development,Manufacturing Director,5258,No,3,1,4,3,0,No
488,41,Sales,Sales Executive,9355,No,2,8,3,3,7,Yes
491,50,Research & Development,Healthcare Representative,10496,No,4,4,3,3,1,No
492,40,Sales,Sales Executive,6380,Yes,3,6,3,3,1,Yes
493,31,Research & Development,Research Scientist,2657,Yes,2,2,3,3,2,No
494,21,Sales,Sales Representative,2716,No,2,1,3,3,0,Yes
495,29,Research & Development,Research Scientist,2201,No,4,3,3,3,1,No
496,35,Research & Development,Healthcare Representative,6540,No,2,1,3,3,0,No
497,27,Research & Development,Laboratory Technician,3816,No,2,5,3,3,0,No
498,28,Sales,Sales Executive,5253,No,4,7,3,3,0,No
499,49,Research & Development,Healthcare Representative,10965,No,3,5,3,4,0,No
500,51,Sales,Sales Executive,4936,No,4,7,2,3,0,No
501,36,Research & Development,Research Scientist,2543,No,3,2,3,3,2,No
502,34,Sales,Sales Executive,5304,Yes,4,5,2,3,0,Yes
505,55,Research & Development,Manager,16659,Yes,4,5,3,3,1,No
507,24,Sales,Sales Executive,4260,Yes,3,5,4,3,0,No
508,30,Sales,Sales Representative,2476,No,2,1,3,3,0,No
510,26,Research & Development,Research Scientist,3102,No,1,6,3,4,0,Yes
511,22,Research & Development,Research Scientist,2244,No,2,2,3,3,1,No
513,36,Sales,Sales Executive,7596,No,3,10,3,3,9,No
514,30,Research & Development,Research Scientist,2285,Yes,4,1,3,4,0,Yes
515,37,Research & Development,Laboratory Technician,3034,No,1,18,2,3,12,No
516,40,Sales,Sales Executive,5715,No,2,5,3,3,1,No
517,42,Research & Development,Laboratory Technician,2576,No,1,5,3,3,1,No
518,37,Research & Development,Manufacturing Director,4197,Yes,2,1,2,3,0,No
520,43,Research & Development,Research Director,14336,No,2,25,3,3,3,No
521,40,Research & Development,Laboratory Technician,3448,No,3,1,3,4,0,No
522,54,Research & Development,Research Director,19406,No,1,4,2,3,1,No
523,34,Sales,Sales Executive,6538,No,3,3,3,3,1,No
524,31,Research & Development,Manufacturing Director,4306,No,1,13,1,3,3,No
525,43,Research & Development,Laboratory Technician,2258,No,4,3,3,4,1,No
526,43,Research & Development,Healthcare Representative,4522,Yes,3,5,3,3,0,No
527,25,Sales,Sales Executive,4487,Yes,4,5,3,3,1,No
